ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-12-01,1429797.3184319355,341557.5465088681,341557.54653013416,1429797.3184319355,1429797.3184319355,-1088239.7719123967,-1088239.7719123967,-1088239.7719123967,-1088239.7719123967,-1088239.7719123967,-1088239.7719123967,0.0,0.0,0.0,341557.54651953885
2011-12-31,1474437.0275676197,5545352.816535872,5546339.715705189,1473920.2864923994,1474907.1856647192,4071432.5300373794,4071432.5300373794,4071432.5300373794,4071432.5300373794,4071432.5300373794,4071432.5300373794,0.0,0.0,0.0,5545869.557604999
2012-01-31,1520564.7270078266,3520746.72800868,3524022.0070298924,1518872.649536818,1522147.9285515896,2001874.078477121,2001874.078477121,2001874.078477121,2001874.078477121,2001874.078477121,2001874.078477121,0.0,0.0,0.0,3522438.8054849477
2012-02-29,1563716.4458389878,818541.3605316349,824856.4758395781,1560519.9793644282,1566835.0946658184,-741978.6188317745,-741978.6188317745,-741978.6188317745,-741978.6188317745,-741978.6188317745,-741978.6188317745,0.0,0.0,0.0,821737.8270072134
2012-03-31,1609844.1452791947,335236.26570141606,345306.6811005154,1604687.163094291,1614757.5784890628,-1269450.8974068724,-1269450.8974068724,-1269450.8974068724,-1269450.8974068724,-1269450.8974068724,-1269450.8974068724,0.0,0.0,0.0,340393.24787232233
2012-04-30,1654483.8544148786,993414.7382987934,1007640.0020351802,1647244.4750816037,1661469.738832971,-653829.7367897774,-653829.7367897774,-653829.7367897774,-653829.7367897774,-653829.7367897774,-653829.7367897774,0.0,0.0,0.0,1000654.1176251012
2012-05-31,1700611.5538550857,1642996.134263924,1661633.709932016,1691110.6968859867,1709748.2725621497,-48114.562624743114,-48114.562624743114,-48114.562624743114,-48114.562624743114,-48114.562624743114,-48114.562624743114,0.0,0.0,0.0,1652496.9912303425
2012-06-30,1745251.2629907697,1247127.7639162696,1270768.735976162,1733040.0975332796,1756681.0695973278,-485912.33361624344,-485912.33361624344,-485912.33361624344,-485912.33361624344,-485912.33361624344,-485912.33361624344,0.0,0.0,0.0,1259338.9293745263
2012-07-31,1791378.9624309766,1372271.881781616,1401852.0522508507,1775989.057879364,1805569.2283506903,-403717.17610808456,-403717.17610808456,-403717.17610808456,-403717.17610808456,-403717.17610808456,-403717.17610808456,0.0,0.0,0.0,1387661.786322892
2012-08-31,1837506.6618711837,1108107.5084321497,1143806.8862859076,1818643.9932139001,1854343.371084405,-710536.4847899985,-710536.4847899985,-710536.4847899985,-710536.4847899985,-710536.4847899985,-710536.4847899985,0.0,0.0,0.0,1126970.1770811852
2012-09-30,1882146.3710068676,1669322.1363327878,1710941.009726807,1859941.6684064441,1901560.54179551,-190619.53206739985,-190619.53206739985,-190619.53206739985,-190619.53206739985,-190619.53206739985,-190619.53206739985,0.0,0.0,0.0,1691526.8389394677
2012-10-31,1928274.0704470745,1392090.818830572,1440304.0005795462,1902752.2894457066,1950965.4711877734,-510661.47060634213,-510661.47060634213,-510661.47060634213,-510661.47060634213,-510661.47060634213,-510661.47060634213,0.0,0.0,0.0,1417612.5998407323
2012-11-30,1972913.7795827587,135503.0815071289,190716.0705510716,1943674.3580990813,1998887.3471595396,-1808171.2765973469,-1808171.2765973469,-1808171.2765973469,-1808171.2765973469,-1808171.2765973469,-1808171.2765973469,0.0,0.0,0.0,164742.5029854118
